ID,Predicted Value
1,8
2,5
3,6
4,13
5,5
6,10
7,5
8,4
9,5
10,3
11,4
12,11
13,12
14,13
15,8
16,1
17,8
18,1
19,11
20,14
21,5
22,3
23,11
24,9
25,1
26,14
27,4
28,5
29,14
30,14
31,13
32,13
33,14
34,2
35,5
36,7
37,13
38,4
39,8
40,10
41,4
42,14
43,14
44,8
45,10
46,9
47,6
48,7
49,13
50,14
51,8
52,14
53,14
54,11
55,12
56,6
57,1
58,3
59,8
60,5
61,4
62,12
63,7
64,7
65,1
66,11
67,2
68,7
69,6
70,2
71,12
72,2
73,12
74,4
75,14
76,6
77,2
78,7
79,12
80,10
81,14
82,4
83,8
84,11
85,2
86,4
87,12
88,3
89,3
90,12
91,8
92,3
93,1
94,11
95,8
96,11
97,6
98,1
99,11
100,13
101,13
102,2
103,3
104,4
105,8
106,14
107,11
108,3
109,5
110,3
111,9
112,12
113,1
114,2
115,10
116,7
117,7
118,6
119,4
120,3
121,3
122,14
123,14
124,7
125,9
126,14
127,11
128,8
129,12
130,1
131,1
132,3
133,3
134,2
135,11
136,5
137,12
138,4
139,2
140,4
141,3
142,4
143,7
144,8
145,8
146,14
147,2
148,5
149,11
150,7
151,11
152,9
153,5
154,5
155,8
156,2
157,4
158,3
159,5
160,10
161,12
162,13
163,4
164,9
165,4
166,12
167,1
168,11
169,12
170,14
171,13
172,3
173,5
174,12
175,11
176,13
177,3
178,3
179,7
180,8
181,14
182,14
183,10
184,3
185,7
186,6
187,13
188,10
189,14
190,14
191,5
192,1
193,2
194,5
195,9
196,10
197,14
198,7
199,5
200,10
201,9
202,13
203,3
204,4
205,14
206,5
207,4
208,13
209,3
210,5
211,10
212,7
213,7
214,3
215,9
216,6
217,8
218,14
219,6
220,13
221,14
222,11
223,7
224,5
225,9
226,6
227,6
228,7
229,10
230,12
231,10
232,5
233,8
234,4
235,7
236,1
237,10
238,8
239,9
240,6
241,9
242,14
243,4
244,11
245,3
246,2
247,2
248,13
249,5
250,10
251,4
252,14
253,11
254,12
255,5
256,9
257,12
258,6
259,7
260,9
261,8
262,3
263,5
264,13
265,5
266,12
267,8
268,12
269,12
270,5
271,13
272,7
273,4
274,8
275,10
276,2
277,6
278,7
279,7
280,10
281,9
282,6
283,14
284,10
285,12
286,1
287,12
288,10
289,14
290,11
291,13
292,7
293,7
294,5
295,9
296,7
297,6
298,12
299,4
300,4
301,5
302,5
303,3
304,3
305,7
306,1
307,4
308,8
309,3
310,12
311,12
312,3
313,7
314,6
315,1
316,2
317,2
318,3
319,4
320,9
321,2
322,7
323,1
324,9
325,8
326,13
327,4
328,7
329,3
330,11
331,12
332,9
333,9
334,13
335,4
336,3
337,12
338,3
339,6
340,5
341,13
342,9
343,1
344,10
345,2
346,2
347,5
348,3
349,11
350,4
351,12
352,7
353,9
354,7
355,11
356,8
357,6
358,10
359,8
360,4
361,11
362,8
363,8
364,11
365,11
366,2
367,9
368,14
369,9
370,14
371,8
372,7
373,2
374,3
375,4
376,13
377,12
378,2
379,10
380,5
381,12
382,14
383,5
384,11
385,13
386,12
387,7
388,4
389,12
390,1
391,5
392,10
393,6
394,3
395,2
396,7
397,3
398,10
399,3
400,10
401,14
402,6
403,9
404,2
405,3
406,4
407,2
408,14
409,3
410,10
411,7
412,9
413,13
414,2
415,2
416,9
417,12
418,14
419,7
420,1
421,8
422,2
423,3
424,13
425,10
426,1
427,6
428,7
429,4
430,3
431,1
432,10
433,11
434,14
435,8
436,10
437,11
438,3
439,6
440,8
441,11
442,2
443,1
444,5
445,9
446,11
447,12
448,2
449,13
450,10
451,5
452,8
453,12
454,11
455,1
456,13
457,7
458,14
459,8
460,3
461,11
462,9
463,3
464,10
465,3
466,7
467,8
468,5
469,11
470,12
471,14
472,2
473,7
474,14
475,3
476,5
477,13
478,3
479,10
480,2
481,7
482,3
483,4
484,3
485,2
486,9
487,5
488,3
489,11
490,13
491,13
492,14
493,1
494,10
495,6
496,4
497,9
498,2
499,1
500,1
501,4
502,10
503,4
504,9
505,8
506,3
507,4
508,9
509,10
510,8
511,9
512,1
513,3
514,13
515,4
516,4
517,11
518,4
519,11
520,9
521,4
522,8
523,7
524,8
525,9
526,10
527,14
528,9
529,3
530,6
531,4
532,1
533,12
534,12
535,11
536,8
537,6
538,3
539,11
540,2
541,1
542,3
543,2
544,4
545,14
546,10
547,10
548,7
549,8
550,12
551,8
552,3
553,2
554,11
555,7
556,11
557,13
558,9
559,7
560,6
561,2
562,1
563,8
564,8
565,8
566,6
567,6
568,13
569,10
570,3
571,13
572,11
573,9
574,10
575,13
576,3
577,10
578,12
579,6
580,13
581,10
582,1
583,10
584,2
585,7
